district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Дзержинский,19,3.32,0.789,0.632,0.053,Медицина,Мусор и чистота,Магазины
Железнодорожный,860,3.69,0.811,0.797,0.174,Медицина,Магазины,Безопасность
Заельцовский,15,2.73,0.633,0.4,0.133,ЖКХ,Магазины,Транспорт
Кировский,164,4.05,0.982,0.963,0.0,Медицина,Магазины,Транспорт
Ленинский,111,4.06,0.973,0.946,0.0,Медицина,Магазины,ЖКХ
Октябрьский,156,3.77,0.849,0.827,0.128,Магазины,Транспорт,Озеленение
Центральный,1615,3.7,0.817,0.807,0.173,Медицина,ЖКХ,Освещение
Калининский,31,4.0,0.903,0.839,0.032,Магазины,Транспорт,Озеленение
Первомайский,27,3.96,0.926,0.852,0.0,Магазины,Транспорт,Озеленение
Советский,64,3.56,0.719,0.688,0.25,Медицина,Магазины,Транспорт
